brand,type,modelName,energyClass,power,area,price,imageOutdoorURL,imageIndoorURL,maxCoolingCapacity,maxHeatingCapacity,averagePower,entryCoolingPower,entryHeatingPower,airFlow,dehumidificationRate,noiseLevel,workingTemperatureFrom,workingTemperatureTo,indoorUnitMass,outdoorUnitMass,freon,outdoorUnitDimensionsX,outdoorUnitDimensionsY,outdoorUnitDimensionsZ,guarantee
CARRIER,INVERTER_SPLIT_SYSTEMS,Infinity Ultimate 42QHB09D8S / 38QHB09D8S,A+++ (7.1/5.1),2640,25,31990,images\devices-images\outdoor\Carrier\Carrier1.png,images\devices-images\indoor\Carrier\Carrier - Infinity Ultimate 42QHB09D8S-38QHB09D8S.png,3200,3600,2640,740,720,420,1,38,-15,46,7.3,27,R32,770,555,300,36
CARRIER,INVERTER_SPLIT_SYSTEMS,CRYSTAL 42QHC012D8SA / 38QHC012D8S,A+++ (6.7/5.1),3520,35,39990,images\devices-images\outdoor\Carrier\Carrier1.png,images\devices-images\indoor\Carrier\Carrier - CRYSTAL 42QHC012D8SA-38QHC012D8S.png,3900,4200,3520,1200,1100,510,1,40,-15,46,8.5,27,R32,770,555,300,36
CARRIER,INVERTER_SPLIT_SYSTEMS,Extreme 42QHG009D8SX / 38QHG009D8SX,A+++ (7.4/5.3),2750,25,38990,images\devices-images\outdoor\Carrier\Carrier1.png,images\devices-images\indoor\Carrier\Carrier - Extreme 42QHG009D8SX-38QHG009D8SX.png,3200,3400,2750,765,760,460,1,37,-15,50,8,23.5,R32,720,495,270,36
CARRIER,INVERTER_SPLIT_SYSTEMS,Crystal II 42QHB12D8SA / 38QHB12D8S,A+++ (6.8/5.1),3520,35,41990,images\devices-images\outdoor\Carrier\Carrier1.png,images\devices-images\indoor\Carrier\Carrier - Crystal II 42QHB12D8SA-38QHB12D8S.png,4100,4700,3520,1200,1100,530,1,39,-15,46,8.2,27,R32,900,595,345,36
CARRIER,INVERTER_SPLIT_SYSTEMS,Infinity Ultimate 42QHB12D8S / 38QHB12D8S,A+++ (6.8/5.1),3520,35,36990,images\devices-images\outdoor\Carrier\Carrier2.png,images\devices-images\indoor\Carrier\Carrier - Infinity Ultimate 42QHB12D8S-38QHB12D8S.png,4100,4700,3520,1200,1100,530,1,39,-15,46,8.2,27,R32,770,555,300,36
CARRIER,INVERTER_SPLIT_SYSTEMS,Extreme 42QHG012D8SX / 38QHG012D8SX,A+++ (7.0/5.5),3650,35,42990,images\devices-images\outdoor\Carrier\Carrier1.png,images\devices-images\indoor\Carrier\Carrier - Extreme 42QHG012D8SX-38QHG012D8SX.png,4300,4400,3650,1130,1050,530,1,37,-15,50,8.7,23.7,R32,720,495,270,36
CARRIER,INVERTER_SPLIT_SYSTEMS,Crystal II 42QHB18D8SA / 38QHB18D8S,A+++ (6.4/51),5280,60,54990,images\devices-images\outdoor\Carrier\Carrier1.png,images\devices-images\indoor\Carrier\Carrier - Crystal II 42QHB18D8SA-38QHB18D8S.png,6100,6800,5280,1630,1480,750,1.5,42,-15,46,10.8,37,R32,920,625,390,36
CARRIER,INVERTER_SPLIT_SYSTEMS,Infinity Ultimate 42QHB18D8S / 38QHB18D8S,A+++ (6.4/5.1),5280,60,52990,images\devices-images\outdoor\Carrier\Carrier2.png,images\devices-images\indoor\Carrier\Carrier - Infinity Ultimate 42QHB18D8S-38QHB18D8S.png,6100,6800,5280,1630,1480,750,1.5,42,-15,46,10.8,37,R32,800,554,333,36
CARRIER,INVERTER_SPLIT_SYSTEMS,Extreme 42QHG018D8SX / 38QHG018D8SX,A+++ (7.0/5.1),5280,60,58990,images\devices-images\outdoor\Carrier\Carrier2.png,images\devices-images\indoor\Carrier\Carrier - Extreme 42QHG018D8SX-38QHG018D8SX.png,6100,6700,5280,1550,1700,800,1.5,41,-15,50,11.2,33.5,R32,805,554,330,36
CARRIER,INVERTER_SPLIT_SYSTEMS,Infinity Ultimate 42QHB24D8S / 38QHB24D8S,A+++ (6.4/5.1),7040,80,63990,images\devices-images\outdoor\Carrier\Carrier1.png,images\devices-images\indoor\Carrier\Carrier - Infinity Ultimate 42QHB24D8S-38QHB24D8S.png,8400,9400,7040,2320,2200,1050,2.5,46,-15,46,12.9,50,R32,845,702,363,36
TOSHIBA,INVERTER_SPLIT_SYSTEMS,SEIYA RAS-B10J2KVG-E / RAS-10J2AVG-E1,A++ (6.1/4.0),2500,25,39990,images\devices-images\outdoor\Toshiba\Toshiba.png,images\devices-images\indoor\Toshiba\Toshiba - SEIYA RAS-B10J2KVG-E-RAS-10J2AVG-E1.png,3000,3900,2500,770,860,540,1,39,-15,46,9,23,R32,660,530,240,36
TOSHIBA,INVERTER_SPLIT_SYSTEMS,SEIYA RAS-B13J2KVG-E / RAS-13J2AVG-E1,A++ (6.0/4.0),3300,35,43490,images\devices-images\outdoor\Toshiba\Toshiba.png,images\devices-images\indoor\Toshiba\Toshiba - SEIYA RAS-B13J2KVG-E-RAS-13J2AVG-E1.png,3600,4500,3300,1100,920,600,1,41,-15,46,9,24,R32,660,530,240,36
